Expediente,FechaRegistro,Calle,Numero,AlturaObra,Zona,Seccion,Manzana,Parcela,Barrio,Comuna,CodigoPostal,Tipo,MetrosCuadrados,Longitud,Latitud
21420879/19,2019-09-24,DEHEZA,4751,4751,16,55,145,20,Saavedra,12,C1430CVK,Micro Obra,,-58.4958839930274,-34.5512070477991
16474629/19,2019-06-12,DEHEZA,4975,4975,16,55,116,20,Saavedra,12,C1430CVO,Micro Obra,,-58.49783513875361,-34.5523345360098
30408750/17,2019-07-30,DONADO,3986,3986,16,55,180,29,Saavedra,12,C1430DTB,Obra Mayor,935.86,-58.48862545698461,-34.5555159953725
3200181/17,2019-07-22,PLAZA,4478,4478,16,55,215,20,Saavedra,12,C1430DJD,Obra Mayor,105.94,-58.4893430188131,-34.5504785638255
26241187/19,2019-09-20,"BALBIN, RICARDO, DR. AV.",4198,4198,16,55,167,1,Saavedra,12,C1430AAZ,Micro Obra,,-58.4906246223078,-34.5553245463516
35170681/18,2019-08-28,"FREIRE, RAMON, CAP. GRAL.",4380,4380,2,24,102,26,Saavedra,12,C1429ATD,Obra Menor,346,-58.4808778769291,-34.5471782457006
6619558/18,2019-06-11,RUIZ HUIDOBRO,3457,3457,16,43,49a,14,Saavedra,12,C1430CJB,Obra Menor,437.15,-58.4827670900091,-34.548765269289696
14253239/19,2019-08-15,RUIZ HUIDOBRO AV.,4610,4610,16,55,140,1B,Saavedra,12,C1430CKR,Micro Obra,,-58.4931126201525,-34.5545550064086
26829318/18,2019-08-07,SUPERI,3745,3745,16,43,57,10C,Saavedra,12,C1430FFG,Obra Menor,347.95,-58.478953464205105,-34.552677319435396
3981582/19,2019-07-12,SUPERI,4531,4531,16,43,63,22,Saavedra,12,C1430FGI,Obra Mayor,652.85,-58.4833680354286,-34.5467072426851
29897617/17,2019-06-28,TRONADOR,3658,3658,16,55,221,7,Saavedra,12,C1430DMP,Obra Media,775.13,-58.4841201354545,-34.556727556131804
34459106/18,2019-07-29,TRONADOR,4072,4072,16,55,226,24,Saavedra,12,C1430DMX,Obra Mayor,607.68,-58.4865622772528,-34.5533523462436
32689807/18,2019-06-07,WASHINGTON,4145,4145,15,43,21c,5,Saavedra,12,C1430EVG,Obra Media,699.12,-58.4839302908891,-34.5511104887644
35035398/18,2019-09-20,SARANDI,1118,1118/20,8,22,58,7,San Cristobal,3,C1222ACN,Obra Menor,119.3,-58.393658503005106,-34.6219517062788
10121213/18,2019-07-31,PAVON,3156,3156/64,8,30,42,6B,San Cristobal,3,C1253AAP,Obra Mayor,3671.27,-58.4092172243027,-34.6288306900399
30307005/18,2019-07-18,MATHEU,1521,1521/55,8,22,14,5,San Cristobal,3,C1249AAG,Obra Mayor,24208.92,-58.398906766136896,-34.6274645114973
20577839/19,2019-06-28,JUJUY AV.,1084,1084/86,8,22,7,20B,San Cristobal,3,C1229ABS,Micro Obra,6.53,-58.402330883197,-34.6221722236715
18345636/16,2019-06-26,JUJUY AV.,1071,1071/73,8,30,95,42,San Cristobal,3,C1229ABF,Obra Menor,498.6,-58.4026746701065,-34.622072406185396
10847252/16,2019-08-13,INDEPENDENCIA AV.,3086,3086,8,30,67,9/10,San Cristobal,3,C1225AAZ,Micro Obra,,-58.40892676181829,-34.620202021888105
34338346/18,2019-09-30,HUMBERTO,2028,2028/30,8,22.50,4,,San Cristobal,3,C1229AAD,Micro Obra,14.93,-58.3943524211195,-34.622010573428305
34188016/18,2019-09-27,ALBERTI,827,827/29,8,22,13,1c,San Cristobal,3,C1223AAG,Obra Menor,34.93,-58.40121029538339,-34.6191238600139
33574165/18,2019-07-24,24 DE NOVIEMBRE,1541,1541/55,8,30,32,28a,San Cristobal,3,C1242AAG,Obra Mayor,6611.39,-58.410226144041204,-34.6293574872497
26881239/18,2019-06-05,ALBERTI,1065,1065/83,8,22,11,30A,San Cristobal,3,C1223AAK,Obra Mayor,3854.3,-58.400747183563006,-34.6216831731583
34789631/18,2019-06-07,CATAMARCA,931,931,8,30,85,45,San Cristobal,3,C1231AAI,Obra Media,1395.37,-58.4049020097398,-34.6206575043407
13651004/19,2019-06-18,INDEPENDENCIA AV.,2708,2708,7,30,97,2,San Cristobal,3,C1225AAW,Micro Obra,,-58.403708835006,-34.6191122843525
24637912/18,2019-06-14,PAVON,2384,2384,8,22,22,13,San Cristobal,3,C1248AAS,Obra Media,1374.54,-58.3984162351177,-34.627342086480105
21816906/19,2019-09-20,VIAMONTE,154,154/56,14,1,63,21,San Nicolas,1,C1053ABD,Obra Menor,52.59,-58.3698498107355,-34.5996353165924
2931276/16,2019-09-30,RIVADAVIA AV.,1561,1561/63,14,5,19,16,San Nicolas,1,C1033AAF,Micro Obra,,-58.3886510532535,-34.6086340426907
32917965/18,2019-08-08,RODRIGUEZ PEÑA,149,149/51,14,5,10,20,San Nicolas,1,C1020ADB,Obra Media,2187.49,-58.3904456473727,-34.6073371644823
21830073/19,2019-08-20,LIBERTAD,174,174/92,14,5,44,8,San Nicolas,1,C1012AAD,Micro Obra,,-58.38370278926129,-34.606515697448
13793101/18,2019-07-15,"ALEM, LEANDRO N. AV.",30,30/36,14,1,49,4,San Nicolas,1,C1003AAN,Obra Mayor,654.18,-58.3704925129418,-34.6068645539444
10372443/19,2019-06-07,CORDOBA AV.,924,924/34,14,5,74,004A,San Nicolas,1,C1054AAV,Obra Menor,57.79,-58.380068125274896,-34.5991960443113
27741573/19,2019-09-25,"PERON, JUAN DOMINGO, TTE. GENERAL",547,547,15,1,27,012AyB,San Nicolas,1,C1038AAK,Micro Obra,,-58.3745292191304,-34.6054248434486
16302385/19,2019-06-27,TUCUMAN,737,737,14,1,15,22,San Nicolas,1,C1049AAO,Micro Obra,,-58.377356262378505,-34.6008489875903
10694397/19,2019-08-28,DEFENSA,1357,1357/61,4,25,26,,San Telmo,1,C1143AAC,Obra Media,1698.65,-58.371621173011704,-34.6237026262494
27286417/18,2019-07-12,COCHABAMBA,441,441/49,12,4,26,32A,San Telmo,1,C1150AAE,Obra Mayor,18.3,-58.371942580375205,-34.622905844842
18184115/17,2019-06-12,COCHABAMBA,354,354/70,12,4,31,8/9/10/15,San Telmo,1,C1150AAD,Micro Obra,,-58.3705899920214,-34.623176443656895
30344210/18,2019-07-12,BRASIL,469,469/79,3,8,56,16A,San Telmo,1,C1154AAE,Obra Mayor,3323.11,-58.3721963821866,-34.6252606102462
33615779/18,2019-09-27,"GARAY, JUAN DE AV.",371,371,12,4,31,24b,San Telmo,1,C1153ABB,Obra Media,1228.85,-58.3707207802806,-34.6240226961961
34201930/18,2019-07-15,PIEDRAS,1040,1040,12,4,10,15,San Telmo,1,C1070AAV,Obra Media,844,-58.3770747685818,-34.62010920646539
14294946/19,2019-08-16,SAN JUAN AV.,432,432,12,4,26,002e,San Telmo,1,C1147AAP,Obra Media,2345.4,-58.371766553996004,-34.622138097637894
26421325/18,2019-07-25,RIVADAVIA AV.,8676,8676/80,1,54,95,009c,Velez Sarsfield,10,C1407DYV,Obra Mayor,3608.44,-58.4860277592556,-34.6349744789798
26926273/19,2019-09-26,BELEN,146,146/48,1,77,46,32,Velez Sarsfield,10,C1407ASB,Obra Menor,193.95,-58.4877110290129,-34.6335801368909
35155488/18,2019-06-10,AVELLANEDA,4298,4298,1,77,69,10a,Velez Sarsfield,10,C1407EJW,Obra Menor,80.87,-58.4875343273237,-34.6311165694311
33654980/18,2019-06-06,CAMARONES,4950,4950/52,15,85,33b,9,Velez Sarsfield,10,C1407FNH,Obra Menor,192.41,-58.50206653105829,-34.6262569920737
17487406/17,2019-06-05,MORON,4855,4855/63,1,77,20,31a,Velez Sarsfield,10,C1407EOE,Obra Media,857.31,-58.4975334071825,-34.631914734498
22115043/19,2019-08-29,TUPAC AMARU,1088,1088,15,85,89,38,Velez Sarsfield,10,C1407CXD,Obra Menor,108.79,-58.4938992187871,-34.6268091376459
16740694/19,2019-07-02,SANTO TOME,6238,6238,15,93,77,3,Versalles,10,C1408AYT,Micro Obra,,-58.52375245891479,-34.627159866623394
30888661/18,2019-06-27,ACEVEDO,435,435,18,31,4,11,Villa Crespo,15,C1414DJI,Obra Media,1124.56,-58.4401423652034,-34.5979721497481
19992309/19,2019-09-17,URIARTE,868,868/70,18,31,46,22,Villa Crespo,15,C1414DAB,Obra Media,693.73,-58.4396311236123,-34.5921726430335
9276237/18,2019-08-21,THAMES,684,684/86,18,31,21,22,Villa Crespo,15,C1414DCN,Micro Obra,,-58.4412552588486,-34.593939454024
27012491/19,2019-09-23,PAYSANDU,2251,2251/55,15,47,12,10,Villa Crespo,15,C1416CDW,Obra Media,631.18,-58.456685759268396,-34.5992310070772
29642210/17,2019-09-16,"JUSTO, JUAN B. AV.",3675,3675/95,15,59,186,10a,Villa Crespo,15,C1416DJD,Obra Mayor,3029.81,-58.4559306659916,-34.6024679160444
6203156/18,2019-07-12,CASTILLO,246,246/48,18,31,50,35,Villa Crespo,15,C1414AWF,Micro Obra,,-58.4325684111664,-34.597707608635304
35350354/18,2019-06-11,"GALLARDO, ANGEL AV.",573,573/75,15,47,128,23,Villa Crespo,15,C1405DJF,Obra Mayor,3952.03,-58.4390556910052,-34.605020694634
28974028/18,2019-09-26,CASAFOUST,677,677,15,47,24,22,Villa Crespo,15,C1416EEC,Obra Menor,141.34,-58.4557172213714,-34.5990528056048
9393900/18,2019-07-01,"PUEYRREDON, HONORIO, DR. AV.",1210,1210,15,47,27,2,Villa Crespo,15,C1414CEO,Micro Obra,,-58.4469365134477,-34.606131982918704
11062666/19,2019-06-25,"PUEYRREDON, HONORIO, DR. AV.",1850,1850,15,47,33B,2,Villa Crespo,15,C1414CEU,Micro Obra,,-58.451912094064205,-34.6007435409968
32215760/18,2019-07-12,"ALVAREZ, JULIAN",864,864,18,62,28,,Villa Crespo,15,C1414DRR,Obra Mayor,1453.05,-58.4314547036228,-34.59737877949539
24052656/18,2019-09-20,"ESCALADA DE SAN MARTIN, R.",1006,1006,15,59,174,10,Villa Crespo,15,C1416CVL,Obra Mayor,3238.05,-58.4557317023252,-34.6043558409679
31390594/18,2019-08-29,"ESCALADA DE SAN MARTIN, R.",461,461,15,47,51,19,Villa Crespo,15,C1414DYC,Obra Menor,112.15,-58.4509038234586,-34.6005643895761
33175445/18,2019-07-01,SERRANO,416,416,15,47,176,23,Villa Crespo,15,C1414DEJ,Obra Media,902,-58.4435857439374,-34.5969317328677
23420769/19,2019-09-30,"VIRASORO, VALENTIN",1606,1606,15,47,48,21B,Villa Crespo,15,C1414CDL,Obra Menor,61.29,-58.447705231002,-34.6032994575847
21306190/19,2019-07-31,VERA,138,138,15,47,185,37,Villa Crespo,15,C1414AOD,Obra Mayor,88.1,-58.43502020468161,-34.6021021876619
5786679/19,2019-09-30,TINOGASTA,3630,3630/34,15,81,116,11,Villa Del Parque,11,C1417EIH,Obra Menor,124.23,-58.5000899293189,-34.603464589906395
14070867/19,2019-07-31,TINOGASTA,3068,3068/72,15,71,22,8,Villa Del Parque,11,C1417EHN,Obra Mayor,1200.62,-58.49394909453079,-34.5995463156695
8662356/19,2019-07-22,"VILARDEBO, TEODORO",2406,2406/10,15,91,124A,11,Villa Del Parque,11,C1417AHH,Obra Mayor,236.71,-58.493908038175896,-34.6085787905485
34350415/18,2019-08-07,NOGOYA,3724,3724/26,15,81,98A,4,Villa Del Parque,11,C1417FNT,Obra Media,610.95,-58.4986097244062,-34.6069035690178
20820446/19,2019-09-30,LLAVALLOL,2846,2846/50,15,81,138,25,Villa Del Parque,11,C1417AEP,Obra Menor,131.66,-58.49650255076,-34.6039997519172
31377279/18,2019-09-30,EMPEDRADO,2346,2346/72,15,69,84,14a,Villa Del Parque,11,C1417GIB,Obra Mayor,5803.72,-58.480863672244,-34.599593078291
27387146/18,2019-07-12,"BEIRO, FRANCISCO AV.",3550,3550/54,15,81,120,6,Villa Del Parque,11,C1419HYW,Obra Mayor,2129.21,-58.5025415724306,-34.6004542665921
19046591/19,2019-07-22,"BUFANO, ALFREDO R.",2772,2772/74,15,69,70,42,Villa Del Parque,11,C1417DMF,Obra Mayor,272.51,-58.4805571622534,-34.6014915442976
23911675/18,2019-06-04,ARREGUI,3601,3601/09,15,81,109,28,Villa Del Parque,11,C1417GNA,Obra Menor,199.06,-58.4945169881707,-34.6102806478534
16708959/19,2019-09-10,ESTADO PLURINACIONAL DE BOLIVIA,2724,2724,15,69,045A,2,Villa Del Parque,11,C1417DCH,Obra Menor,220.21,-58.4834353081419,-34.602385915267895
15993033/19,2019-06-26,CAMPANA,3231,3231,15,81,169,16C,Villa Del Parque,11,C1417ADA,Obra Media,2014.26,-58.4972303325315,-34.600933501166104
35422023/18,2019-08-30,CONDARCO,2341,2341,15,69,040B,13,Villa Del Parque,11,C1416AQY,Obra Media,605.36,-58.4811422996066,-34.6069562353264
34788312/18,2019-06-25,MELINCUE,3241,3241,15,81,165,25a,Villa Del Parque,11,C1417FHG,Obra Media,1134.2,-58.494851737722904,-34.603073617103
11807435/18,2019-07-01,NAZCA AV.,2358,2358,15,69,15,40,Villa Del Parque,11,C1416ASZ,Obra Menor,149,-58.484324727821395,-34.608425910373604
23481814/18,2019-06-11,NOGOYA,3500,3500,15,81,136,9B,Villa Del Parque,11,C1417FNN,Obra Media,806.45,-58.496256301518,-34.6056385048712
8428522/19,2019-07-19,PERNAMBUCO,2320,2320,15,69,40B,22,Villa Del Parque,11,C1416APF,Obra Mayor,231.28,-58.480743299676504,-34.607044712919304
14070867/19,2019-06-06,TINOGASTA,3068,3068/72,15,71,22,8,Villa Del Parque,11,C1417EHN,Obra Media,956.63,-58.49394909453079,-34.5995463156695
16296200/19,2019-07-12,VALLEJOS,4386,4386/90,15,83,13,78,Villa Devoto,11,C1419GLH,Obra Mayor,284.5,-58.5192678030235,-34.5992770432008
34795608/18,2019-07-31,SAN MARTIN AV.,6329,6329/37,15,83,218,005C,Villa Devoto,11,C1419ICA,Obra Mayor,1830.87,-58.5042488609132,-34.5940124701101
3518657/19,2019-07-25,"SOLANO LOPEZ, F., MARISCAL",3626,3626/28,15,83,142,002a,Villa Devoto,11,C1419HRP,Obra Mayor,130.55,-58.50526483119079,-34.5994706674578
26433159/18,2019-09-25,"SOLANO LOPEZ, F., MARISCAL",3329,3329/31,15,83,211,31A,Villa Devoto,11,C1419HRI,Micro Obra,10.88,-58.5014313820961,-34.5968321612325
26581680/19,2019-08-29,LLAVALLOL,4580,4580,15,83,198,31,Villa Devoto,11,C1419AKL,Micro Obra,,-58.5080330452555,-34.5915356899576
22007540/19,2019-07-23,LLAVALLOL,4766,4766/68,15,83,200A,27,Villa Devoto,11,C1419AKP,Obra Mayor,472.29,-58.5094832295195,-34.5898959473359
33318642/18,2019-09-10,MOSCONI GENERAL AV.,3851,3851/55,15,83,112,022a,Villa Devoto,11,C1419ERE,Obra Mayor,5743.22,-58.51527465273001,-34.593778556897604
34802241/18,2019-06-26,NAVARRO,5049,5049/51,15,89,51,037a,Villa Devoto,11,C1419HUW,Obra Mayor,853.44,-58.522185002768005,-34.6108839469204
25957091/18,2019-07-12,LLAVALLOL,5370,5370,17,83,206,40,Villa Devoto,11,C1419ALD,Obra Mayor,6031,-58.51380153976871,-34.5852303838775
32622911/18,2019-08-29,LOPE DE VEGA AV.,2939,2939/43,15,87,13,32,Villa Devoto,11,C1417CPB,Obra Media,1836.45,-58.5234917171509,-34.615139353032305
25638360/19,2019-09-24,"GONZALEZ, JOAQUIN V.",4776,4776/78,15,83,112,7,Villa Devoto,11,C1419AYH,Obra Menor,298.54,-58.5148464276404,-34.5929784838469
10477531/19,2019-08-07,"CABEZON, JOSE LEON",3625,3625/29,15,83,159A,18,Villa Devoto,11,C1419FCU,Micro Obra,,-58.5150915365096,-34.5887631219614
22382568/18,2019-08-08,GRIVEO,3308,3308/10,15,83,225,2,Villa Devoto,11,C1419EVX,Obra Menor,196.33,-58.50914157156261,-34.588057270689305
35311195/18,2019-08-30,"BEIRO, FRANCISCO AV.",4744,4744/50,15,87,71,13,Villa Devoto,11,C1419HZW,Obra Mayor,4987.07,-58.5171274335808,-34.6096016819287
12001990/19,2019-09-26,"LAMARCA, EMILIO",5281,5281/85,15,83,182B,006B,Villa Devoto,11,C1419ASU,Obra Menor,113.21,-58.5155253350935,-34.5873006339852
13170769/19,2019-09-13,CERVANTES,2950,2950/52,15,87,25A,4,Villa Devoto,11,C1417CBV,Micro Obra,,-58.5191890092528,-34.61464127877711
22512410/16,2019-07-11,CERVANTES,2826,2826/30,15,87,24A,33,Villa Devoto,11,C1417CBT,Obra Mayor,56.9,-58.518044421827604,-34.6153657684001
32687844/18,2019-06-11,"BEIRO, FRANCISCO AV.",4237,4237/55,15,83,20,12a,Villa Devoto,11,C1419HZE,Obra Mayor,4368.81,-58.51125241948979,-34.6051394868046
26284842/18,2019-06-06,BAHIA BLANCA,3061,3061,11,81,75B,9,Villa Devoto,11,C1417ASS,Obra Menor,206.37,-58.50438681713321,-34.6063263132106
33956212/18,2019-07-12,BAHIA BLANCA,3658,3658,15,83,80,3,Villa Devoto,11,C1419BAB,Obra Mayor,315.82,-58.508814809232206,-34.601935849815895
33509285/18,2019-07-11,BACON,4828,4828,15,83,178B,24,Villa Devoto,11,C1419AQB,Obra Mayor,195.31,-58.511857878018105,-34.590388834147504
15951700/19,2019-09-20,CHIVILCOY,2730,2730,15,81,47,19,Villa Devoto,11,C1417ATP,Obra Menor,247.5,-58.50423115637779,-34.6086508106659
18759890/19,2019-07-18,COLIQUEO,2261,2261,15,87,6A,14,Villa Devoto,11,C1417CLE,Obra Mayor,271.76,-58.516871416666696,-34.6194002537764
32764607/18,2019-07-16,FRANCO,3616,3616,15,83,160A,2,Villa Devoto,11,C1419FIR,Obra Mayor,80.46,-58.5159272767004,-34.5874352659
17396004/19,2019-07-31,"PAZ, GRAL. AV.",6778,6778,15,88,60,12,Villa Devoto,11,C1419FZR,Obra Mayor,761.15,-58.5200331661858,-34.5938983297892
16874144/19,2019-08-14,GUALEGUAYCHU,3845,3845,15,83,46,4,Villa Devoto,11,C1419BKG,Obra Menor,293.35,-58.51321616511479,-34.6016587658809
10376103/19,2019-07-05,GUALEGUAYCHU,4580,4580,15,83,34,28,Villa Devoto,11,C1419BLB,Obra Mayor,28.82,-58.5176265283626,-34.5974582500843
11992303/19,2019-06-27,"CUBAS, JOSE",4495,4495,15,89,59,17,Villa Devoto,11,C1419GOM,Micro Obra,19.28,-58.520132079129,-34.6006782408399
12304460/18,2019-08-16,"VARELA, JOSE PEDRO",5170,5170,15,87,26C,10,Villa Devoto,11,C1417EZF,Obra Menor,66.3,-58.5212255843657,-34.6141050072231
16853524/19,2019-06-26,NAZARRE,4711,4711,15,87,26,,Villa Devoto,11,C1417DYG,Obra Menor,320.47,-58.5121328689108,-34.6124641800809
32524593/18,2019-07-11,NAZARRE,4728,4728,15,87,078A,3,Villa Devoto,11,C1417DYH,Obra Mayor,85.97,-58.511977455581395,-34.6127651890413
32920203/18,2019-07-16,NOGOYA,4002,4002,15,81,58,1e,Villa Devoto,11,C1417FNZ,Obra Mayor,3096.36,-58.5022416488585,-34.609225717021296
15965848/19,2019-06-11,"MORAN, PEDRO",4726,4726,15,89,78,001B,Villa Devoto,11,C1419HLN,Obra Menor,42.96,-58.5190522817796,-34.6070398754908
18336267/19,2019-08-29,"VARELA, JOSE PEDRO",4074,4074,15,81,51,14,Villa Devoto,11,C1417EYJ,Micro Obra,18.86,-58.5079903751978,-34.6051359140271
19749698/18,2019-09-16,"LISTA, RAMON, CORONEL",5180,5180,87,27,26,,Villa Devoto,11,C1417FAD,Obra Media,1964.29,-58.522465730897395,-34.6133306903315
33367804/18,2019-06-07,"CARRIL, SALVADOR MARIA DEL AV.",4867,4867,15,89,38,15,Villa Devoto,11,C1419HBD,Obra Media,812.43,-58.5229955599207,-34.605652798831
14122942/19,2019-07-18,SIMBRON,4775,4775,15,87,70,0,Villa Devoto,11,C1417EVY,Obra Mayor,15.22,-58.516100505832995,-34.611373515147
38292725/15,2019-06-26,VALLEJOS,4253,4253,15,83,34,19,Villa Devoto,11,C1419GLE,Obra Menor,148.45,-58.517698278389396,-34.5979296725662
9460756/17,2019-09-10,"ALVAREZ, DONATO, TTE. GRAL.",1342,1342/54,15,59,64,33b,Villa Gral. Mitre,11,C1416BTP,Obra Media,1091.83,-58.4611258631752,-34.6115028094841
21481243/19,2019-09-26,ALVAREZ JONTE,1930,1930/44,15,59,27,4/5/6,Villa Gral. Mitre,11,C1416EXR,Obra Menor,487.44,-58.470663199673204,-34.6034310714247
8349921/19,2019-08-14,ESTADO PLURINACIONAL DE BOLIVIA,1144,1144,15,67,62,34,Villa Gral. Mitre,11,C1416ANB,Obra Media,1331.8,-58.470972053731394,-34.6181702625866
26452376/18,2019-06-14,ESTADO PLURINACIONAL DE BOLIVIA,1636,1636,15,67,67,39,Villa Gral. Mitre,11,C1416ANL,Obra Menor,190.65,-58.474990509779,-34.613137730395
18162568/14,2019-06-05,CAMARONES,2013,2013/15,15,59,10A,21,Villa Gral. Mitre,11,C1416ECM,Obra Media,852.86,-58.469778697257006,-34.6067942930464
15883099/19,2019-06-11,CONDARCO,1965,1965,15,67,70,16,Villa Gral. Mitre,11,C1416AQQ,Obra Menor,484.21,-58.4782933354914,-34.610354572209
30224368/18,2019-06-26,FRAGATA PRES. SARMIENTO,1848,1848,15,59,131,28,Villa Gral. Mitre,11,C1416CBP,Obra Media,2253.2,-58.4602269889072,-34.60482774417
35466987/18,2019-08-08,"ESCALADA DE SAN MARTIN, R.",2650,2650,15,67,66,6,Villa Gral. Mitre,11,C1416CWN,Obra Media,1202.04,-58.474766547262895,-34.614026172438805
16477215/17,2019-06-28,RAFAELA,4993,4993/95,1,60,134,22,Villa Luro,10,C1407GVC,Obra Media,884.69,-58.497419526107706,-34.639578606884896
16995977/18,2019-09-18,PATRON,5455,5455/57,1,60,76,29,Villa Luro,10,C1408FAC,Obra Media,1647.66,-58.5071228136798,-34.640312491452
20581014/19,2019-07-11,MANZONI,45,45/47,1,60,131,15,Villa Luro,10,C1407ICA,Micro Obra,,-58.4996184987813,-34.6380912026371
24797816/19,2019-08-29,LAGRANGE,1230,1230/36,15,91,79B,24,Villa Luro,10,C1407CEB,Micro Obra,10.63,-58.5122150415894,-34.6279563200754
21417648/19,2019-08-06,IRIGOYEN,747,747/49,15,91,45,18,Villa Luro,10,C1407CAQ,Obra Menor,125.45,-58.51028061481811,-34.6327437279913
23428302/19,2019-08-14,BASUALDO,480,480/82,1,60,93,20,Villa Luro,10,C1440DNB,Obra Menor,355.66,-58.50126053360311,-34.6427072128581
18338061/19,2019-08-16,ACASSUSO,5218,5218/22,1,60,95,24,Villa Luro,10,C1408FDD,Micro Obra,15.9,-58.5037881708473,-34.6398064354166
17983929/19,2019-07-12,BACACAY AV.,5769,5769,15,91,36,14,Villa Luro,10,C1408AJA,Obra Mayor,187.23,-58.5087216337408,-34.6353857960756
23917836/19,2019-09-10,CAJARAVILLA,4589,4589,1,54,047B,12,Villa Luro,10,C1407GWI,Obra Menor,411.4,-58.491247656083296,-34.639978399548696
